USD,EURO,MLC,Fecha
695,800,510,2026-06-22 00:00
695,800,510,2026-06-21 23:00
695,800,510,2026-06-21 22:00
695,800,510,2026-06-21 21:00
695,800,510,2026-06-21 20:00
695,800,510,2026-06-21 19:00
695,800,510,2026-06-21 18:00
695,800,497,2026-06-21 17:00
695,800,510,2026-06-21 16:00
695,800,510,2026-06-21 15:00
695,800,505,2026-06-21 14:00
695,800,505,2026-06-21 13:00
695,800,500,2026-06-21 12:00
695,800,510,2026-06-21 11:00
695,800,510,2026-06-21 10:00
695,800,507,2026-06-21 09:00
695,800,507,2026-06-21 08:00
695,800,510,2026-06-21 07:00
695,800,510,2026-06-21 06:00
695,800,510,2026-06-21 05:00
695,800,510,2026-06-21 04:00
695,800,510,2026-06-21 03:00
695,800,510,2026-06-21 02:00
695,800,510,2026-06-21 01:00
695,800,510,2026-06-21 00:00
695,800,500,2026-06-20 23:00
695,800,500,2026-06-20 22:00
695,800,500,2026-06-20 21:00
695,800,500,2026-06-20 20:00
695,800,500,2026-06-20 19:00
